facilityName,city,region,Country,sector_en,activity_en,cost_2021
NYRSTAR BELGIUM,Balen,Anvers,Belgium,Production and processing of metals,"Installation for the production of non-ferrous crude metals from ore, concentrates or secondary raw materials by metallurgical, chemical or electrolytic processes",40936184
LUMINUS - Centrale de Seraing,Seraing,Région wallonne,Belgium,Energy sector,Thermal power stations and other combustion installations,39516180
BOREALIS KALLO,Beveren,Région flamande,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",38835852
PRAYON,Engis,Région wallonne,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Acids, such as chromic acid, hydrofluoric acid, phosphoric acid, nitric acid, hydrochloric acid, sulphuric acid, oleum, sulphurous acids",37867912
INEOS OXIDE UTILITIES,Zwijndrecht,Anvers,Belgium,Energy sector,Thermal power stations and other combustion installations,37075128
STEP SUD (SBGE),Forest,Bruxelles-Capitale,Belgium,Waste and wastewater management,Urban waste-water treatment plants,33730836
Total Energies Centrale Electrique Marchienne au Pont,Goutroux,Région wallonne,Belgium,Energy sector,Thermal power stations and other combustion installations,33721356
APERAM STAINLESS BELGIUM,Châtelet,Hainaut,Belgium,Production and processing of metals,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,32060070
ELECTRABEL CENTRALE HERDERSBRUG,Brugge,Flandre-Occidentale,Belgium,Energy sector,Thermal power stations and other combustion installations,32014252
A & S ENERGIE,Oostrozebeke,Flandre-Occidentale,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,31411302
DOLOMIES DE MARCHE-LES-DAMES,,Région wallonne,Belgium,Mineral industry,Installations for the production of cement clinker or lime in other furnaces,30698290
AIR LIQUIDE LARGE INDUSTRY,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic inorganic chemicals: Gases, such as ammonia, chlorine or hydrogen chloride, fluorine or hydrogen fluoride, carbon oxides, sulphur compounds, nitrogen oxides, hydrogen, sulphur dioxide, carbonyl chloride",29914104
ALCO BIO FUEL,Gent,Flandre orientale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",29829286
YARA TERTRE - CETPROBEL,Tertre,Région wallonne,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)",29435786
INEOS,Zwijndrecht,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",29396792
CARMEUSE - Site de Moha,Moha,Liège,Belgium,Mineral industry,Installations for the production of cement clinker or lime in other furnaces,28984616
SAVERGLASS MD Verre,Ghlin,Région wallonne,Belgium,Mineral industry,"Installations for the manufacture of glass, including glass fibre",28730120
BIOSTOOM OOSTENDE,Oostende,Flandre-Occidentale,Belgium,Waste and wastewater management,Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,28522774
INEOS PHENOL BELGIUM,Beveren,Région flamande,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Oxygen-containing hydrocarbons such as alcohols, aldehydes, ketones, carboxylic acids, esters, acetates, ethers, peroxides, epoxy resins",27672348
APERAM GENK,Genk,Limbourg,Belgium,Production and processing of metals,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,27266852
WIENERBERGER,Beerse,Anvers,Belgium,Mineral industry,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",25013434
KNAUF INSULATION,Visé,Liège,Belgium,Mineral industry,"Installations for the manufacture of glass, including glass fibre",24559430
VPK Paper,Dendermonde,Flandre orientale,Belgium,Paper and wood production and processing,"Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)",24341382
BAYER AGRICULTURE,Antwerpen,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",24304960
WIENERBERGER,Rumst,Région flamande,Belgium,Mineral industry,"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",23759462
