facilityName,city,region,Country,sector_en,activity_en,cost_2021
CONFIDENTIAL,Diksmuide,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",880290
CONFIDENTIAL,Merksplas,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",873413
CONFIDENTIAL,Alveringem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",873413
CONFIDENTIAL,Zedelgem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",866535
VANDAMME OLIEFABRIEK,Deinze,Flandre orientale,Belgium,Animal and vegetable products from the food and beverage sector,Treatment and processing intended for the production of food and beverage products from vegetable raw materials,854006
BOREALIS ANTWERPEN,Zwijndrecht,Anvers,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",854006
CONFIDENTIAL,Zedelgem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",852781
CONFIDENTIAL,Assenede,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",839026
BAYMONT SA,Nandrin,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",825272
AGIE de SELSATEN François,Saint-Germain,Liège,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",825272
TAVEIRNE SA (WARNETON),Bas-Warneton,Hainaut,Belgium,Intensive livestock production and aquaculture,Installations for the intensive rearing of pigs with 750 places for sows,825272
CONFIDENTIAL,Ravels,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",825272
CONFIDENTIAL,Aalter,Flandre orientale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",818394
CONFIDENTIAL,Diksmuide,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",818394
CONFIDENTIAL,Tongeren,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",818394
CONFIDENTIAL,Meulebeke,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",811517
CONFIDENTIAL,Oostkamp,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",804640
AVERY DENNISON MATERIALS EUROPE,Soignies,Région wallonne,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",803473
CONFIDENTIAL,Pepingen,Brabant flamand,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",797763
CONFIDENTIAL,Maaseik,Limbourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",797763
CONFIDENTIAL,Bocholt,Limbourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",790885
DARINA GALINA SPRL,Waremme,Liège,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",790885
CONFIDENTIAL,Lo-Reninge,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",784008
CONFIDENTIAL,Jabbeke,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",784008
CONFIDENTIAL,Rijkevorsel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",784008
CONFIDENTIAL,Assenede,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",777131
CONFIDENTIAL,Torhout,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",777131
CONFIDENTIAL,Oostrozebeke,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",770254
LARDINOIS OLIVIER,Comblain-Au-Pont,Région wallonne,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",756499
CONFIDENTIAL,Peer,Limbourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",749622
CONFIDENTIAL,Rijkevorsel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",742745
CONFIDENTIAL,Aalter,Flandre orientale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",742745
CONFIDENTIAL,Oostrozebeke,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",742745
CONFIDENTIAL,Zonnebeke,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",742745
CHIYODA EUROPE,Genk,Limbourg,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",737780
CONFIDENTIAL,Ravels,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",735867
CONFIDENTIAL,Wuustwezel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",735867
CONFIDENTIAL,Merksplas,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",735867
WALHIN JEAN-POL-LECAILLIE ANNE EP.,Aye,Luxembourg,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",735867
CONFIDENTIAL,Beernem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",728990
CONFIDENTIAL,Zonnebeke,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",722113
CONFIDENTIAL,Hoogstraten,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",722113
CONFIDENTIAL,Wingene,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",715236
CONFIDENTIAL,Ravels,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",715236
CONFIDENTIAL,Moorslede,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",715236
CONFIDENTIAL,Ardooie,Région flamande,Belgium,Intensive livestock production and aquaculture,Installations for the intensive rearing of pigs with 750 places for sows,708358
CONFIDENTIAL,Pittem,Flandre-Occidentale,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",701481
CLARISSE PASCAL,Comines,Hainaut,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of poultry with 40,000 places for poultry",694604
CONFIDENTIAL,Rijkevorsel,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",694604
CONFIDENTIAL,Hoogstraten,Anvers,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",694604
CONFIDENTIAL,Staden,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",694604
CONFIDENTIAL,Langemark-Poelkapelle,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",694604
CONFIDENTIAL,Ledegem,Région flamande,Belgium,Intensive livestock production and aquaculture,"Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)",687726
GUNVOR PETROLEUM ANTWERPEN,Antwerpen,Anvers,Belgium,Energy sector,Mineral oil and gas refineries,651874
LATEXCO,Tielt,Flandre-Occidentale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",634237
NITTO BELGIUM,Genk,Limbourg,Belgium,Other activities,"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",560915
CARGILL,Gent,Flandre orientale,Belgium,Animal and vegetable products from the food and beverage sector,Treatment and processing intended for the production of food and beverage products from vegetable raw materials,540702
UNILIN BVBA DIVISION INSULATION,Waregem,Flandre-Occidentale,Belgium,Chemical industry,"Chemical installations for the production on an industrial scale of basic organic chemicals: Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres)",510382
MAGOTTEAUX LIEGE sa,Vaux-Sous-Chèvremont,Liège,Belgium,Production and processing of metals,Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,57171
PROFERRO (GIETERIJ),Ieper,Flandre-Occidentale,Belgium,Production and processing of metals,Ferrous metal foundries with a production capacity of 20 tonnes per day,5277
